,eukulele_taxonomy,mmseqs_taxonomy,groups,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,proportion_coding_sequence_mean,proportion_coding_sequence_std,proportion_repeat_mean,proportion_repeat_std,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_IOD3_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,5641666,1635,773284,36150,0,48.3,3333,646,0.8101817543859651,0.08244762195080693,0.0,0.0,2715,1292,47.59,692,751,27.66,1180,21.57,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E003,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,11118631,3355,1088285,44679,0,36.64,3194,1359,0.4198024107142857,0.09092343875329492,0.004459464285714286,0.002893457471880593,4558,1478,32.43,495,576,12.64,990,11.37,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,19629832,5824,2453453,160258,0,42.14,3212,2318,0.4376140101522841,0.08023404285053838,0.05407888324873096,0.011952237977111068,7820,2028,25.93,462,562,7.19,1041,9.8,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,25138288,6764,5876888,591187,0,40.94,3601,2503,0.5445379761904762,0.0783934943007516,0.01709277777777778,0.007229962747592111,10191,4852,47.61,1610,2050,20.12,2381,34.51,0.0,47.27,3.64,Eukaryota_Fungi_Microsporidia,IO,DCM,20-180
TOPAZ_IOD3_E006,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,3274509,817,1047264,84220,0,54.37,3995,290,0.7671363636363636,0.0599863816776513,0.002974242424242425,0.0031636285556620237,1375,863,62.76,489,521,37.89,903,16.08,0.0,11.58,0.43,Eukaryota_Metazoa,IO,DCM,20-180
TOPAZ_IOD3_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,17141457,4641,3848773,476948,0,41.09,3559,1712,0.4127549418604651,0.10132517522461508,0.031403139534883724,0.00972789172188008,5813,1886,32.44,380,476,8.19,912,3.53,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E008,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,Metazoa,40076237,8560,18786640,6143986,50363,39.28,4749,2589,0.5254655112219452,0.12408256680468213,0.028502069825436405,0.011975466898477108,14993,7873,52.51,2984,3861,25.75,3474,73.33,0.39,69.84,6.61,Eukaryota,IO,DCM,20-180
TOPAZ_IOD3_E009,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',Chlorophyta,5673067,1404,1796666,213915,0,58.91,4009,495,0.8349980701754387,0.0587005241746702,0.003788947368421053,0.004158984223240062,3486,2321,66.58,1250,1395,40.02,1866,41.18,0.0,43.59,0.43,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales_Bathycoccaceae_Ostreococcus,IO,DCM,20-180
TOPAZ_IOD3_E010,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,Chlorophyta,6595895,1628,2125026,247070,0,47.9,4062,576,0.8268051515151515,0.0494997669796298,0.0025660606060606064,0.0015113438519248849,3622,2376,65.6,1202,1350,37.27,1845,34.12,0.39,,,,IO,DCM,20-180
TOPAZ_IOD3_E011,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,Metazoa,23039502,5966,6500809,933809,0,36.65,3776,2122,0.5174981818181819,0.07847593500037697,0.02811064935064935,0.015383090537018843,10656,3880,36.41,1028,1251,11.74,1911,32.94,0.78,29.17,6.25,Eukaryota_Fungi_Microsporidia,IO,DCM,20-180
TOPAZ_IOD3_E012,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,8629447,2288,2179680,369025,0,48.84,3596,824,0.7450750574712643,0.07572247683851813,0.0032185057471264358,0.00208486584299813,3838,1843,48.02,894,1007,26.24,1496,27.45,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E013,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;Chlorophyceae;-;Chlamydomonadales;Chlamydomonadaceae;-,Chlorophyta,24413123,1240,23353771,20901551,10222035,66.47,41725,165,0.8137216734693878,0.07850050605878417,0.008450081632653062,0.012510225466306587,8805,5570,63.26,2584,3157,35.85,3095,85.88,0.39,,,,IO,DCM,20-180
TOPAZ_IOD3_E014,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,7774568,1892,2761489,445041,0,48.34,4106,657,0.6813346153846153,0.048268696542145335,0.00972846153846154,0.0053263951048174475,3510,1848,52.65,859,950,27.07,1427,22.75,0.0,,,,IO,DCM,20-180
TOPAZ_IOD2_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,Metazoa,2615460,469,1718888,500405,0,32.81,6470,144,0.5881685185185185,0.1134234244767254,0.0,0.0,1322,363,27.46,94,104,7.87,284,1.57,0.0,,,,IO,DCM,5-20
TOPAZ_IOD2_E002,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Coscinodiscophyceae;-;-;-;-,Eukaryota,2789134,483,1877409,623402,0,23.91,6926,142,0.2519646428571429,0.12947314082967562,0.0,0.0,405,31,7.65,13,13,3.21,43,0.78,0.0,,,,IO,DCM,5-20
TOPAZ_IOF1_E001,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Apusozoa;-;-;-;-;Apusomonadidae;Thecamonas trahens,Apusozoa,12790725,3059,4574747,466604,0,61.82,4234,1082,0.91793703125,0.02310699222365437,0.013627265625,0.011826386461719546,6081,3236,53.21,1075,1303,21.43,1881,33.73,0.0,41.38,0.0,Eukaryota_Apicomplexa_Nephromyces_Nephromyces.sp..ex.Molgula.occidentalis,IO,FSW,0.8-5
TOPAZ_IOF1_E002,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,Chlorophyta,11167423,2529,4588481,750441,0,65.14,4545,863,0.8787805357142856,0.04435602630258787,0.0,0.0,6003,3847,64.08,1859,2188,36.45,2561,56.08,0.39,57.46,0.63,Eukaryota_Viridiplantae,IO,FSW,0.8-5
TOPAZ_IOF1_E003,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;-,Chlorophyta,14910512,1465,13341535,9710474,369792,60.94,13588,336,0.8149912666666668,0.06809200040432226,0.0056170000000000005,0.005333661625312703,8430,5796,68.75,2791,3368,39.95,3348,89.41,0.0,100.0,0.0,Eukaryota,IO,FSW,0.8-5
TOPAZ_IOM1_E001,Eukaryota;-;-;-;-;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Acremonium chrysogenum,Fungi,12615435,1291,11349434,7752628,170855,53.93,11920,333,0.5384088188976376,0.07506045670006492,0.0010362204724409447,0.0015443531526348887,5222,3369,64.52,1483,1766,33.82,2142,41.18,0.78,40.43,0.4,Eukaryota_Fungi_Ascomycota_Sordariomycetes,IO,MES,0.8-5
TOPAZ_IOM1_E002,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,2809188,698,894414,108290,0,33.55,4032,245,0.15004068965517242,0.10961314104239303,0.02881827586206897,0.025110444326389918,401,32,7.98,7,7,1.75,43,0.39,0.0,,,,IO,MES,0.8-5
TOPAZ_IOM1_E003,Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Saccharomycetes;-;Saccharomycetales;Debaryomycetaceae;Meyerozyma guilliermondii,Fungi,3018209,466,2275905,967250,0,43.6,7713,131,0.8362106451612904,0.1309571611298774,0.0,0.0,2630,1373,52.21,837,879,33.42,1279,25.1,0.0,23.39,0.17,Eukaryota_Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_Debaryomycetaceae_Meyerozyma_Meyerozyma.guilliermondii,IO,MES,0.8-5
TOPAZ_IOM1_E004,Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Saccharomycetes;-;Saccharomycetales;Debaryomycetaceae;Candida parapsilosis,Fungi,12503747,502,12199179,11544744,5191116,38.68,40951,89,0.6911865873015872,0.08996840194133326,0.003423412698412698,0.0048811978367756725,6129,4478,73.06,2857,3319,54.15,3090,92.16,0.0,97.88,0.0,Eukaryota_Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_Debaryomycetaceae,IO,MES,0.8-5
TOPAZ_IOS1_E001,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina rotalis,Haptophyta,10299541,3027,1179235,55862,0,57.8,3290,1209,0.762973203883495,0.04106636649041917,0.0013415533980582525,0.001368131570691015,5406,2406,44.51,503,614,11.36,1258,14.12,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E002,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,Ochrophyta,16596095,4089,5307515,654106,0,40.17,4035,1464,0.8000701204819276,0.04133462583302973,0.025430240963855433,0.007171293001644151,7914,3885,49.09,1303,1592,20.12,2178,45.88,1.18,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E003,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;-,Ochrophyta,3873942,1129,425251,0,0,51.96,3400,456,0.8696600000000001,0.043017819623130664,0.0,0.0,2737,1375,50.24,544,590,21.56,1076,25.1,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E004,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,15789844,4446,2630049,149440,0,55.21,3470,1720,0.9201453164556962,0.02282743784507455,0.013117721518987342,0.00558582902958592,8139,3533,43.41,725,1043,12.81,1623,21.96,0.39,19.05,1.27,Eukaryota_Viridiplantae_Chlorophyta,IO,SRF,0.8-5
TOPAZ_IOS1_E005,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,Haptophyta,37901682,7633,20372143,5862277,0,62.67,5267,2317,0.8718684210526316,0.04992136515120111,0.022961578947368427,0.014794965168902241,23551,10549,44.79,2051,3225,13.69,3175,60.39,0.39,60.39,10.5,Eukaryota_Fungi_Ascomycota,IO,SRF,0.8-5
TOPAZ_IOS1_E006,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,34521783,6916,18752827,4755569,0,40.93,5343,2148,0.8088744508670519,0.05009836401242634,0.0076671098265895955,0.005838227448411308,18964,8270,43.61,1960,2791,14.72,3048,68.24,3.92,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E007,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,3780734,1158,281428,0,0,57.89,3161,481,0.9078897368421052,0.029261182791401313,0.0009584210526315789,0.0009154220376008039,2252,1033,45.87,280,316,14.03,809,12.16,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E008,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,Ochrophyta,23517011,5727,7959471,762473,0,39.96,4130,2038,0.6914893220338983,0.057071328938693,0.06329055084745762,0.015469354618848382,11424,5170,45.26,1600,2053,17.97,2536,49.8,0.0,53.33,2.22,Eukaryota_Apicomplexa,IO,SRF,0.8-5
TOPAZ_IOS1_E009,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,18485280,4427,6493581,1062759,0,40.9,4200,1534,0.8325688648648648,0.035942459695765656,0.008522054054054054,0.005157241468522269,10136,4265,42.08,1058,1343,13.25,2076,34.51,0.78,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E010,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,Chlorophyta,12954518,2817,5952002,1279977,0,72.41,4760,904,0.8250628461538462,0.05149494075574677,0.019541,0.020099641743841337,6271,3719,59.3,1745,2037,32.48,2414,53.73,0.0,63.16,0.0,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E011,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,4513863,1331,510798,20722,0,44.54,3298,540,0.8868819565217391,0.11660338550569367,0.0,0.0,2567,1075,41.88,314,352,13.71,847,10.98,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E012,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,Chlorophyta,12402862,1828,9179918,4572682,52002,48.07,7999,475,0.8064801600000001,0.08498886620713562,0.01268704,0.006216372707487864,6491,4310,66.4,2098,2520,38.82,2711,66.67,0.78,84.21,0.0,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,IO,SRF,0.8-5
TOPAZ_IOS1_E013,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,Dinoflagellata,51377091,9681,29858318,11672993,0,59.03,5723,2731,0.8546791245136187,0.033594680069916734,0.0059157198443579775,0.006607339832105004,26395,11812,44.75,2401,3829,14.51,3406,79.61,0.78,80.56,8.33,Eukaryota_Heterolobosea_Schizopyrenida_Vahlkampfiidae_Naegleria,IO,SRF,0.8-5
TOPAZ_IOS1_E014,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,8818711,2559,1084744,20621,0,43.52,3356,1021,0.8668334831460673,0.07865806843906302,0.02367775280898876,0.007051524777784276,6035,2964,49.11,859,1000,16.57,1721,31.76,0.39,26.32,1.75,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E015,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',Chlorophyta,11997742,720,11573470,10178443,1990536,60.58,23380,152,0.8438307500000001,0.029592582408505118,0.01722691666666666,0.01107299295552271,7215,4948,68.58,2469,2989,41.43,3009,81.96,0.39,95.73,2.14,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales_Bathycoccaceae_Ostreococcus,IO,SRF,0.8-5
TOPAZ_IOS1_E016,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,20602783,5597,4492025,212058,0,57.16,3592,2109,0.895073574879227,0.0637690610001702,0.00791647342995169,0.0053613852514542756,12761,4704,36.86,808,1204,9.43,1787,26.27,0.39,,,,IO,SRF,0.8-5
