"","OGT","Source","Doubling.Time","Species.Name"
"18",23,"https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.1402430306",15.19,"Blepharisma japonicum"
"19",20,"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x",18,"Bolidomonas pacifica"
"20",10,"Rose and Caron",30.8065413582198,"Cafeteria roenbergensis"
"21",12,"Thomas et al.",29.2364364383808,"Calcidiscus leptoporus"
"22",20.5,"Thomas et al.",45.7397737952515,"Ceratium fusus"
"23",13,"https://www.sciencedirect.com/science/article/pii/0022098177900466",14.12,"Chaetoceros affinis"
"24",1.5,"Rose and Caron",42.6552111113812,"Chaetoceros brevis"
"25",25,"Rose and Caron",11.9680088729775,"Chaetoceros curvisetus"
"26",12,"Rose and Caron",14.5925722223146,"Chaetoceros debilis"
"27",1.5,"Rose and Caron",26.8315037636108,"Chaetoceros dichaeta"
"28",25,"Rose and Caron",8.80186895949137,"Chaetoceros neogracile"
"29",23,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464504/",46.21,"Chattonella subsalsa"
"30",20,"https://www.tandfonline.com/doi/abs/10.1080/00071617700650171",119.68,"Chlamydomonas euryale"
"31",28,"https://theses.cz/id/n47qir/15012357",32,"Chromera velia"
"32",20,"https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2427.1997.00138.x",26.66,"Chrysochromulina brevifilum"
"33",15,"https://www.int-res.com/articles/meps2005/288/m288p021.pdf",40.57,"Chrysochromulina ericina"
"34",14,"Thomas et al.",18.6335403635126,"Chrysochromulina polylepis"
"35",22.7,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1972.tb03496.x",36,"Climacostomum Climacostomum"
"36",15,"Thomas et al.",42.8750833336049,"Coccolithus pelagicus"
"37",20,"https://link.springer.com/article/10.1007%252Fs40415-014-0088-8",831.78,"Compsopogon coeruleus"
"38",14,"https://www.biorxiv.org/content/10.1101/252668v1.full.pdf",61.22,"Corethron hystrix"
"39",4,"Thomas et al.",63.9999999285912,"Corethron pennatum"
"40",20,"https://www.sciencedirect.com/science/article/pii/S1568988308000036?casa_token=MkCNmkCWX3wAAAAA:AnZ7PPs7nRFo6lvuwqa2FA6UCiGvSpxWK6qpPKmU3XbQuJs1rTPT8gsqqGXqgktTTbawGW7R",20,"Coscinodiscus wailesii"
"41",27,"https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-14-1-1.1",8,"Crypthecodinium cohnii"
"42",19,"https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10066",31.58,"Cryptomonas curvata"
"43",25,"https://www.limnology-journal.org/articles/limn/abs/1997/04/limno19974p223/limno19974p223.html",10.08,"Cyclotella meneghiniana"
"44",22.5,"Thomas et al.",29.1970803135073,"Cylindrotheca closterium"
"45",18,"Thomas et al.",19.6721311541275,"Dactyliosolen fragilissimus"
"46",7,"Rose and Caron",15.123211212217,"Detonula confervacea"
"47",15,"https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-32-1-29.1",24,"Dictyocha speculum"
"48",15,"https://www.sciencedirect.com/science/article/pii/S1568988308000759",23.77,"Dinophysis acuminata"
"49",18,"https://www.degruyter.com/document/doi/10.1515/znc-1994-9-1011/html",12,"Ditylum brightwellii"
"50",25,"Rose and Caron",9.24196240746594,"Dunaliella tertiolecta"
"51",24,"Rose and Caron",8.57501666672097,"Emiliania huxleyi"
"52",20,"https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10578",51.99,"Eucampia antarctica"
"53",23,"Rose and Caron",6.65421293337547,"Euplotes crassus"
"54",4,"Rose and Caron",72.3284014497334,"Euplotes focardii"
"55",30,"Rose and Caron",21.0576358651123,"Euplotes harpa"
"56",20,"Thomas et al.",10.9090909107497,"Eutreptiella gymnastica-like"
"57",20,"Rose and Caron",23.4303272301953,"Fabrea Fabrea"
"58",15,"Rose and Caron",31.9914083335359,"Favella ehrenbergii"
"59",20,"Rose and Caron",6.39828166670719,"Favella taraikaensis"
"60",25,"Thomas et al.",36.0902255695756,"Fibrocapsa japonica"
"61",4,"Thomas et al.",30.7692307599405,"Fragilariopsis kerguelensis"
"62",24,"Rose and Caron",10.0214050201438,"Gephyrocapsa oceanica"
"63",22,"https://aem.asm.org/content/77/9/3074.short",83.18,"Goniomonas pacifica"
"64",20,"https://www.sciencedirect.com/science/article/pii/S1568988308000723",52.64,"Gonyaulax spinifera"
"65",20,"https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.2008.01054.x?casa_token=n1GWF6CO-bQAAAAA:QIV22cZwI-VbZJmOZdmli34d3suYeUNxby10eUVZ-5XfQccbL-2wtZcx22sJX0VeiQM44HUECu6EIMw7",24.46,"Grammatophora oceanica"
"66",18,"https://academic.oup.com/jxb/article/66/20/6461/553934?login=true",34,"Guillardia theta"
"67",22.5,"Thomas et al.",44.6927374254477,"Gymnodinium catenatum"
"68",15,"Rose and Caron",15.123211212217,"Gyrodinium dominans"
"69",20,"https://www.int-res.com/abstracts/ame/v66/n1/p63-75/",19.34,"Hanusia phi"
"70",24,"Rose and Caron",10.944429166736,"Helicotheca tamensis"
"71",25,"https://onlinelibrary.wiley.com/doi/10.1111/jpy.13042#:~:text=Growth%20and%20extraction%20yield,of%200.96%20%C2%B7%20d%E2%88%921.",17.33,"Hemiselmis andersenii"
"72",20,"https://www.int-res.com/articles/ame2012/66/a066p063.pdf",21.33,"Hemiselmis tepida"
"73",20,"Thomas et al.",11.4285714299524,"Heterocapsa rotundata"
"74",17.6,"Rose and Caron",19.5712145099279,"Heterocapsa triquetra"
"75",25,"Thomas et al.",16.4708240925135,"Heterosigma akashiwo"
"76",25,"Rose and Caron",8.75554333338878,"Isochrysis galbana"
"77",25,"Thomas et al.",76.9230770421288,"Karenia brevis"
"78",20,"https://academic.oup.com/plankt/article/28/8/737/1469860?login=true",32,"Karlodinium micrum"
"79",19,"https://www.sciencedirect.com/science/article/pii/S1434461009000029",100,"Kryptoperidinium foliaceum"
"80",20,"Rose and Caron",9.04105018121668,"Leptocylindrus danicus"
"81",24,"Rose and Caron",24.1094671499111,"Lingulodinium polyedra"
"82",20,"https://www.int-res.com/articles/ame2011/62/a062p025.pdf",11.8,"Mesodinium pulex"
"83",20,"Thomas et al.",5.84225900628304,"Micromonas pusilla"
"84",19,"https://www.jstor.org/stable/24816749?seq=1",13.9,"Minutocellus polymorphus"
"85",15,"https://www.sciencedirect.com/science/article/pii/S1568988311000370?casa_token=A_DUnsx13AgAAAAA:ZkicuWkO23q8lCHdl5tAoM0jRzKMqGWImHalKZ0hdzEbEgfRNoaUP6sqnEqQroV1lbVQykZV",34.66,"Myrionecta rubra"
"86",20,"Rose and Caron",4.33216987849966,"Neobodo designis"
"87",20,"Rose and Caron",27.271364481047,"Noctiluca scintillans"
"88",20,"https://link.springer.com/content/pdf/10.1007/s00248-001-1024-6.pdf",6.4,"Ochromonas sp. BG-1"
"89",12,"Rose and Caron",17.3286795139986,"Odontella aurita"
"90",30,"Rose and Caron",16.8035680135744,"Odontella sinensis"
"91",20,"https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10009",15.69,"Ostreococcus lucimarinus"
"92",25,"https://onlinelibrary.wiley.com/doi/full/10.1111/j.1550-7408.2005.00034.x?casa_token=4qIGlk7YfhcAAAAA%3Auk2pyD88YiGnU0AmN1XAcKf2460qzp4gCwLJ0BsNCbH-J_pOAaPV2HFOSZB5yBKW3EKKrYJFWvvdyg",13.86,"Oxyrrhis marina"
"93",18,"Rose and Caron",13.8629436111989,"Paraphysomonas bandaiensis"
"94",20,"Rose and Caron",2.77258872223978,"Paraphysomonas imperforata"
"95",20,"Rose and Caron",3.30070085980926,"Paraphysomonas vestita"
"96",25,"Rose and Caron",6.93147180559945,"Pavlova lutheri"
"97",20,"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x?casa_token=kL18yxKQzWIAAAAA%3Awy1ASqxhskBhJ6wGUw6TYVveV8WCq_6O2xr4m_onAzU31apWGGVL4nt69Zzlyf47jgrNK-cCvP2VQA",33,"Pelagomonas calceolata"
"98",7.7,"https://onlinelibrary.wiley.com/doi/full/10.1111/fwb.12321?casa_token=FDYWGPoBFNwAAAAA%3AKO64oCcBTJ7TAOYcPYrRONtxzp890VTLRBTCc10nffJBj73xB7NOsP-qmOtcqxz-6w8kLUzS3S6TrQ",46.21,"Peridinium aciculiferum"
"99",22,"https://www.sciencedirect.com/science/article/pii/S0305049100002315?casa_token=sOTcKjPlT3gAAAAA:VMUEzmyxOCKkJrRy1PPUc8oRXDgV-c82FM2ZZOxF15hgJU2IKuwi5De0cj-xh8NgA62fvC2X",56,"Perkinsus chesapeaki"
"100",28,"https://scholarworks.wm.edu/vimsarticles/1499/",16.9,"Perkinsus marinus"
"101",4,"Thomas et al.",47.5300923812534,"Phaeocystis antarctica"
"102",19,"https://link.springer.com/article/10.1007/s11120-011-9655-z",19.58,"Phaeocystis cordata"
"103",23,"https://aocs.onlinelibrary.wiley.com/doi/full/10.1007/s11746-013-2225-0",33.6,"Picochlorum oklahomensis"
"104",18,"Rose and Caron",66.5421293337547,"Pleurochrysis carterae"
"105",4,"https://www.sciencedirect.com/science/article/pii/S0022098112003334?casa_token=TQf1yeUFAbEAAAAA:SmBtLaQ2wO8NZCjUmUdb7sWDZmj9jgr5SvidS0miuhpKH6KVCaoQVQCNaw7gViWjzZjCRMuK",36.97,"Polarella glacialis"
"106",21,"Rose and Caron",24.8291527364756,"Porphyridium aerugineum"
"107",15,"https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3971",24.83,"Prasinococcus capsulatus"
"108",20,"Rose and Caron",23.7650461906267,"Proboscia alata"
"109",20,"https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10578",47.53,"Proboscia inermis"
"110",20,"https://www.sciencedirect.com/science/article/pii/S1568988309001425?casa_token=qkOQDhyl_TYAAAAA:nNeK-PIfGM-a0aMKj7gT3jYmzmelyav_ZId7AmkiT6osmPWgEE_6QfjE1C--lzL012krji0u",109.09,"Prorocentrum lima"
"111",24,"Rose and Caron",18.4839248149319,"Prorocentrum micans"
"112",26.5,"Thomas et al.",21.2577502174194,"Prorocentrum minimum"
"113",20,"https://www.int-res.com/abstracts/ame/v66/n1/p63-75/",18.28,"Proteomonas sulcata"
"114",15,"https://epic.awi.de/id/eprint/36861/",87.56,"Protoceratium reticulatum"
"115",15,"Thomas et al.",46.6926069787035,"Prymnesium parvum"
"116",20,"https://www.tandfonline.com/doi/full/10.2216/08-21.1?casa_token=x9XVoUi5cGsAAAAA%3AG4cROHwWcwLw3x597og59qQDSxtSFPRVR_HMCZ5ZZ5EU2rmSkKpH43xT0gr5jJVyuT3dgNGN-xM",11.09,"Pseudo-nitzschia arenysensis"
"117",15,"https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1529-8817.2002.01054.x?casa_token=-aVq9BD1s7QAAAAA:jGd0ECuQSckXnyMNtsyMPpLDYBJ9HOdRNjR83hEgNOVIeFUf3dNCCUVVdhNOH-c1WbJcMrPcBDQuNvTN",17.7,"Pseudo-nitzschia australis"
"118",-0.5,"Rose and Caron",33.2710646668774,"Pseudo-nitzschia delicatissima"
"119",20,"https://www.sciencedirect.com/science/article/pii/S156898830900050X?casa_token=bngImfuHQKUAAAAA:snDUUhIWJqZzMXTI6KYr9Rc7Ts1E0M5j5wwYYF9qtp5YZCAOHqBz-fLKc7nbfdF6FrUebfFT",13.75,"Pseudo-nitzschia fraudulenta"
"120",18,"https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2006.51.5.2092",12.32,"Pseudo-nitzschia heimii"
"121",10,"Rose and Caron",12.8957614987897,"Pteridomonas danica"
"122",20,"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x",33,"Pycnococcus provasolii"
"123",25,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.1989.tb00134.x?casa_token=TtpxBMyL1EoAAAAA:SQkbGXz6v2yYCWCjUKKq-QPt2eKCMWyTQsU0Q1Vnb-54N60yD6mUTfgPzxu6VS8n_qJ7bsn0jZCg0_cN",19.57,"Pyramimonas parkeae"
"124",24,"Rose and Caron",72.3284014497334,"Pyrocystis lunula"
"125",28.5,"Thomas et al.",62.3376622245038,"Pyrodinium bahamense"
"126",18,"Thomas et al.",17.4545454594888,"Rhizosolenia setigera"
"127",23.83,"https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11170",17.89,"Rhodella maculata"
"128",21,"https://www.jstor.org/stable/24842257",13.86,"Rhodomonas salina"
"129",22,"https://link.springer.com/article/10.1007/BF00157076#:~:text=Summary,2%20g.l%2D1%20dry%20weight.",23.9,"Rhodosorus marinus"
"130",4,"https://link.springer.com/article/10.1007/s00227-007-0652-x",80,"Scrippsiella Hangoei"
"131",16.5,"Thomas et al.",35.0960597751871,"Scrippsiella trochoidea"
"132",15,"https://www.sciencedirect.com/science/article/pii/S0016703720304002",66.54,"Scyphosphaera apsteinii"
"133",20,"Rose and Caron",4.79410153701403,"Skeletonema costatum"
"134",25,"Thomas et al.",10.2058480573243,"Skeletonema japonicum"
"135",30,"Thomas et al.",9.8435102564726,"Skeletonema marinoi"
"136",35,"Thomas et al.",6.44788074939484,"Skeletonema menzelii"
"137",17,"https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-4669.2010.00250.x?casa_token=5M6kNvmW3gIAAAAA%3AeiJSvWLfI34ZpTtbFDnPVXy8h94rxGm2_7YO8iyqqehuJCSD_4r7f_BBQKwvQOlC3W0IfP_hX_HOqg",34.66,"Stephanopyxis turris"
"138",15,"Rose and Caron",43.7777166669439,"Stereomyxa ramosa"
"139",13,"Rose and Caron",21.6045874460243,"Strombidinopsis acuminata"
"140",NA,"https://www.researchgate.net/profile/Fereidoun-Rassoulzadegan/publication/238238568_Growth_of_microzooplankton_a_comparative_study_of_bacti-vorous_zooXagellates_and_ciliates/links/5afd373daca272b5d8708833/Growth-of-microzooplankton-a-comparative-study-of-bacti-vorous-zooXagellates-and-ciliates.pdf",4.78,"Strombidium inclinatum"
"141",27,"https://www.frontiersin.org/articles/10.3389/fmicb.2016.00082/full",29.19,"Symbiodinium kawagutii"
"142",20,"https://www.sciencedirect.com/science/article/pii/S0166445X18301498",16.1,"Tetraselmis chuii"
"143",25.5,"https://onlinelibrary.wiley.com/doi/full/10.1111/jpy.12286",73.61,"Tetraselmis striata"
"144",22.15,"Thomas et al.",10.9339407768524,"Thalassionema nitzschioides"
"145",-0.5,"Rose and Caron",27.7258872223978,"Thalassiosira antarctica"
"146",5,"https://www.frontiersin.org/articles/10.3389/fmars.2018.00354/full",33.27,"Thalassiosira gravida"
"147",20,"https://www.sciencedirect.com/science/article/pii/030442039500035P",10.02,"Thalassiosira oceanica"
"148",25,"Rose and Caron",6.93147180559945,"Thalassiosira rotula"
"149",25,"Rose and Caron",4.62098120373297,"Thalassiosira weissflogii"
"150",27,"https://www.sciencedirect.com/science/article/pii/S037783980000013X?casa_token=rcTUgSg8E4cAAAAA:ry2RUKeR6qkTl5mYS_KGYBiA9ZH8muj1k1J445B6gEASClw4-VxYHZZAkQbHvWlxaKxAnGgj",63.16,"Thoracosphaera heimii"
"151",19,"https://www.int-res.com/abstracts/ame/v28/n3/p289-297",35.39,"Tiarina fusus"
"152",22,"https://aem.asm.org/content/aem/71/8/4628.full.pdf",6,"Uronema sp. Bbcil"
